School ID,School Name,Network,Governance,School Type,Community Area,Total,PE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12
610313,DE DIEGO,Network 5,District,Traditional,WEST TOWN,420,19,32,26,37,37,44,37,38,52,38,60,0,0,0,0
609880,DECATUR,Network 2,District,Traditional,WEST RIDGE,323,0,0,28,55,28,27,58,28,30,41,28,0,0,0,0
609883,DENEEN,Network 12,District,Traditional,GREATER GRAND CROSSING,465,11,46,45,39,54,54,34,43,37,61,41,0,0,0,0
610367,DEPRIEST,Network 3,District,Traditional,AUSTIN,465,3,54,45,49,51,41,37,53,33,54,45,0,0,0,0
610252,DETT,Network 6,District,Traditional,NEAR WEST SIDE,247,26,17,22,26,17,25,23,21,29,18,23,0,0,0,0
609884,DEVER,Network 1,District,Traditional,DUNNING,734,26,51,68,67,51,77,87,73,68,72,94,0,0,0,0
610402,DEVRY HS,Network 14,District,Traditional,LINCOLN SQUARE,134,0,0,0,0,0,0,0,0,0,0,0,0,0,56,78
609885,DEWEY,Network 8,District,Traditional,NEW CITY,242,4,30,23,19,26,29,22,29,19,23,18,0,0,0,0
609874,DIRKSEN,Network 1,District,Traditional,OHARE,"1,047",22,104,120,110,101,111,100,92,99,93,95,0,0,0,0
610363,DISNEY,Network 2,District,Traditional,UPTOWN,"1,461",0,57,185,181,179,184,159,147,140,124,105,0,0,0,0
610515,DISNEY II ES,Network 14,District,Traditional,IRVING PARK,434,0,38,56,57,54,56,58,59,56,0,0,0,0,0,0
610564,DISNEY II HS,Network 14,District,Traditional,IRVING PARK,752,0,0,0,0,0,0,0,0,0,85,93,146,147,130,151
609887,DIXON,Network 12,District,Traditional,CHATHAM,464,0,17,32,31,36,44,44,53,50,77,80,0,0,0,0
609891,DOOLITTLE,Network 9,District,Traditional,DOUGLAS,260,6,21,33,25,36,27,28,26,17,18,23,0,0,0,0
609893,DORE,Network 10,District,Traditional,CLEARING,720,2,87,51,70,66,67,64,75,76,85,77,0,0,0,0
610245,DOUGLASS HS,Network 15,District,Traditional,AUSTIN,34,0,0,0,0,0,0,0,0,0,0,0,6,8,7,13
609894,DRAKE,Network 9,District,Traditional,DOUGLAS,243,1,13,15,27,28,23,26,20,35,29,26,0,0,0,0
609896,DRUMMOND,Network 6,District,Traditional,LOGAN SQUARE,305,31,35,24,36,32,29,29,19,27,18,25,0,0,0,0
610364,DUBOIS,Network 13,District,Traditional,RIVERDALE,202,1,17,21,19,21,19,14,19,31,24,16,0,0,0,0
610263,DULLES,Network 9,District,Traditional,GREATER GRAND CROSSING,668,0,54,79,84,66,81,68,63,72,53,48,0,0,0,0
609676,DUNBAR HS,Network 17,District,Traditional,DOUGLAS,459,0,0,0,0,0,0,0,0,0,0,0,138,121,104,96
610188,DUNNE,Network 13,District,Traditional,ROSELAND,206,1,18,19,27,15,22,16,17,21,30,20,0,0,0,0
610352,DURKIN PARK,Network 10,District,Traditional,ASHBURN,664,27,61,60,63,57,53,59,66,71,68,79,0,0,0,0
610254,DVORAK,Network 7,District,Traditional,NORTH LAWNDALE,273,5,15,27,22,36,27,33,26,33,26,23,0,0,0,0
610587,DYETT ARTS HS,Network 17,District,Traditional,WASHINGTON PARK,520,0,0,0,0,0,0,0,0,0,0,0,131,131,123,135
610316,EARHART,Network 12,District,Traditional,CALUMET HEIGHTS,193,0,0,10,22,22,25,21,24,31,19,19,0,0,0,0
609897,EARLE,Network 11,District,Traditional,WEST ENGLEWOOD,251,16,17,20,28,22,22,28,18,33,22,25,0,0,0,0
609898,EBERHART,Network 10,District,Traditional,CHICAGO LAWN,"1,028",0,51,86,95,87,116,95,98,132,130,138,0,0,0,0
609899,EBINGER,Network 1,District,Traditional,EDISON PARK,729,0,0,89,71,86,89,74,82,86,78,74,0,0,0,0
609901,EDGEBROOK,Network 1,District,Traditional,FOREST GLEN,455,0,0,57,42,52,49,53,52,49,47,54,0,0,0,0
